"Student ID",Name,"Learning Objective",Score,Subject
1161,"Theodora McGlynn DVM",SCI_2,Good,Science
1023,"Mrs. Abigayle Macejkovic",SCI_2,Average,Science
1085,"Liliana Kemmer Sr.",MA_3,D,Maths
1039,"Barney Witting IV",SCI_3,Poor,Science
1151,"Reinhold King",EN_2,1,English
1188,"Prof. Garrick Kirlin",EN_1,8,English
1076,"Gregoria Durgan",EN_1,6,English
1190,"Bill Donnelly",EN_3,6,English
1047,"Vicky Davis",MA_2,B,Maths
1196,"Vicenta Pfeffer",SCI_2,Good,Science
1002,"Prof. Jules Cummerata PhD",EN_3,4,English
1033,"Lisandro Klocko V",EN_1,4,English
1098,"Diamond Hessel",SCI_1,Good,Science
1046,"Mr. Ethan Powlowski",EN_2,2,English
1175,"Uriah Huel",SCI_1,Excellent,Science
1193,"Stephania Prosacco IV",MA_3,D,Maths
1172,"Miss Oceane McCullough DDS",MA_3,E,Maths
1105,"Marlon Rice",MA_2,C,Maths
1168,"Marvin Schmitt",MA_1,D,Maths
1166,"Georgianna Runolfsson",EN_1,6,English
1081,"Monica Orn",SCI_2,Poor,Science
1138,"Eduardo Nolan",SCI_3,Excellent,Science
1030,"Mr. Jett Watsica",EN_2,7,English
1104,"Prof. Lane Smith",MA_1,D,Maths
1140,"Mr. Keegan Waters",MA_2,E,Maths
1015,"Tyrell Sanford",SCI_2,"Very Poor",Science
1028,"Mr. Benedict Christiansen",EN_3,7,English
1107,"Garrett Gulgowski",MA_3,F,Maths
1062,"Prof. Oswald Conroy",EN_1,3,English
1164,"Mikel Veum",SCI_3,"Very Poor",Science
1102,"Lucas Ernser",MA_3,F,Maths
1177,"Bria VonRueden",SCI_3,Poor,Science
1116,"Adella Botsford",EN_3,8,English
1123,"Allie O'Reilly",SCI_2,Excellent,Science
1061,"Athena Tillman",MA_2,F,Maths
1032,"Mrs. Skyla Krajcik",SCI_2,"Very Poor",Science
1064,"Ms. Shyanne Keeling IV",SCI_3,Good,Science
1059,"Dr. Ethelyn McClure IV",MA_1,E,Maths
1053,"Oran Kreiger",MA_3,B,Maths
1189,"Leanne Watsica",EN_1,8,English
1115,"Lemuel Kilback",EN_3,1,English
1136,"Stone Macejkovic",SCI_1,Poor,Science
1096,"Prof. Lori Barton",SCI_1,"Very Poor",Science
1060,"Dr. Harvey Ziemann",EN_3,7,English
1121,"Arlene Cronin",SCI_3,Good,Science
1186,"Mrs. Shanny Breitenberg",SCI_1,Excellent,Science
1109,"Dr. Tia Oberbrunner",SCI_3,Excellent,Science
1033,"Lisandro Klocko V",EN_3,3,English
1198,"Agnes DuBuque",MA_1,C,Maths
1118,"Prof. Oral McKenzie I",MA_2,F,Maths
1161,"Theodora McGlynn DVM",SCI_3,Average,Science
1195,"Jameson Murphy",MA_3,A,Maths
1100,"Dr. Urban Okuneva MD",MA_2,C,Maths
1185,"Ms. Georgette Hermann III",SCI_2,Excellent,Science
1149,"Miss Justina Lindgren",SCI_2,"Very Poor",Science
1113,"Earl Lind",SCI_3,Poor,Science
1120,"Miss Alycia Windler",SCI_1,Poor,Science
1087,"Alanis Moore",MA_1,A,Maths
1181,"Mr. Reynold Hickle",EN_2,6,English
1105,"Marlon Rice",MA_1,E,Maths
1175,"Uriah Huel",SCI_2,"Very Poor",Science
1049,"Fabian Oberbrunner",MA_3,B,Maths
1157,"Viola Flatley",SCI_1,Good,Science
1115,"Lemuel Kilback",EN_2,2,English
1108,"Vivianne Sporer",EN_1,7,English
1012,"Norma Hahn I",MA_2,B,Maths
1139,"Kyleigh Lesch",SCI_2,Poor,Science
1111,"Andreane Vandervort",SCI_1,Good,Science
1031,"Roscoe Fisher",SCI_2,"Very Poor",Science
1139,"Kyleigh Lesch",SCI_3,"Very Poor",Science
1188,"Prof. Garrick Kirlin",EN_3,3,English
1090,"Dr. Terrance Rohan Sr.",EN_2,1,English
1040,"Meghan Champlin",SCI_2,Poor,Science
1091,"Dr. Maurice VonRueden",EN_1,1,English
1031,"Roscoe Fisher",SCI_3,Poor,Science
1014,"Elody Wintheiser DVM",EN_1,5,English
1130,"Mrs. Violette Schmitt I",EN_3,5,English
1107,"Garrett Gulgowski",MA_1,C,Maths
1018,"Edward Mitchell",MA_1,C,Maths
1155,"Flavio Beahan",MA_1,F,Maths
1130,"Mrs. Violette Schmitt I",EN_1,4,English
1059,"Dr. Ethelyn McClure IV",MA_3,A,Maths
1129,"Austen Kilback",EN_1,5,English
1160,"Miss Dominique Hirthe",EN_3,2,English
1126,"Destin Fritsch",SCI_2,Average,Science
1137,"Prof. Phoebe Gislason",EN_3,8,English
1193,"Stephania Prosacco IV",MA_1,C,Maths
1008,"Otho McGlynn",SCI_2,Good,Science
1083,"Steve Lebsack",SCI_1,"Very Poor",Science
1102,"Lucas Ernser",MA_1,C,Maths
1067,"Mark Lindgren Jr.",EN_3,1,English
1019,"Murl Fahey V",EN_1,5,English
1049,"Fabian Oberbrunner",MA_1,C,Maths
1026,"Name Schoen",MA_1,D,Maths
1063,"Mr. Jairo Wolf PhD",EN_2,8,English
1079,"Vergie Botsford",EN_1,5,English
1152,"Lue Koepp",SCI_3,Excellent,Science
1142,"Mr. Seamus Ward",EN_3,3,English
1178,"Antonio Weimann",SCI_1,Good,Science
1083,"Steve Lebsack",SCI_2,"Very Poor",Science
1034,"Prof. Marc Spencer",MA_3,D,Maths
1087,"Alanis Moore",MA_3,F,Maths
1131,"Mr. Kelley Koepp",MA_3,D,Maths
1035,"Mr. Ibrahim Welch IV",EN_3,5,English
1095,"Dr. Carleton Durgan II",SCI_3,"Very Poor",Science
1129,"Austen Kilback",EN_2,3,English
1063,"Mr. Jairo Wolf PhD",EN_3,6,English
1128,"Prof. Rodolfo Abshire",SCI_2,Poor,Science
1165,"Romaine Feest",SCI_1,Excellent,Science
1086,"Jairo Jakubowski",SCI_2,"Very Poor",Science
1001,"Dr. Lisa Haag IV",MA_3,E,Maths
1053,"Oran Kreiger",MA_1,C,Maths
1048,"Jimmie West V",SCI_3,"Very Poor",Science
1101,"Dane Kling PhD",MA_3,A,Maths
1133,"Jewel Kassulke",MA_1,C,Maths
1162,"Oma Altenwerth",EN_2,3,English
1075,"Mr. Nolan Leffler",EN_2,5,English
1075,"Mr. Nolan Leffler",EN_1,3,English
1057,"Israel Parker",SCI_2,Average,Science
1134,"Gerda Hirthe MD",EN_2,5,English
1006,"Mr. Hazel Beahan II",EN_1,7,English
1017,"Miss Verdie Fadel I",MA_3,F,Maths
1034,"Prof. Marc Spencer",MA_1,D,Maths
1194,"Dr. Domenick Herzog",EN_3,1,English
1109,"Dr. Tia Oberbrunner",SCI_1,Poor,Science
1036,"Tressie Pacocha",MA_2,F,Maths
1190,"Bill Donnelly",EN_2,4,English
1073,"Cecile Waelchi",MA_3,F,Maths
1056,"Janessa Koelpin",SCI_3,"Very Poor",Science
1169,"Napoleon Hermiston",MA_2,D,Maths
1125,"Kasandra Bauch",SCI_3,Good,Science
1154,"Prof. Marcella Fay MD",MA_3,A,Maths
1180,"Gordon Thompson",MA_1,F,Maths
1175,"Uriah Huel",SCI_3,Poor,Science
1153,"Isadore Wilkinson",EN_1,1,English
1050,"Dr. Raymundo Kulas DDS",EN_2,6,English
1182,"Trevor Mills",SCI_1,Average,Science
1163,"Dr. Assunta Pouros I",EN_1,5,English
1043,"Daniella Heaney",EN_2,5,English
1103,"Chaim Zboncak",EN_3,8,English
1038,"Reba Braun",MA_2,A,Maths
1176,"Katelyn Muller",EN_3,1,English
1155,"Flavio Beahan",MA_3,B,Maths
1199,"Chance Aufderhar",SCI_3,"Very Poor",Science
1200,"Mrs. Annabelle Collins",MA_1,C,Maths
1142,"Mr. Seamus Ward",EN_1,7,English
1140,"Mr. Keegan Waters",MA_1,A,Maths
1157,"Viola Flatley",SCI_2,Poor,Science
1196,"Vicenta Pfeffer",SCI_3,Average,Science
1055,"Buford Bradtke",EN_1,1,English
1114,"Dasia Adams",MA_2,F,Maths
1200,"Mrs. Annabelle Collins",MA_2,E,Maths
1013,"Samir Haag",SCI_1,Excellent,Science
1082,"Dr. Katelynn Purdy DDS",EN_2,7,English
1170,"Rowland Koelpin",MA_3,E,Maths
1162,"Oma Altenwerth",EN_1,7,English
1135,"Miss Alejandra Hessel IV",SCI_1,"Very Poor",Science
1123,"Allie O'Reilly",SCI_1,Average,Science
1080,"Leonardo Huels",EN_2,1,English
1108,"Vivianne Sporer",EN_2,5,English
1002,"Prof. Jules Cummerata PhD",EN_2,8,English
1116,"Adella Botsford",EN_1,2,English
1072,"Monica Abshire",MA_1,D,Maths
1087,"Alanis Moore",MA_2,C,Maths
1053,"Oran Kreiger",MA_2,B,Maths
1049,"Fabian Oberbrunner",MA_2,B,Maths
1047,"Vicky Davis",MA_3,B,Maths
1076,"Gregoria Durgan",EN_2,6,English
1188,"Prof. Garrick Kirlin",EN_2,4,English
1006,"Mr. Hazel Beahan II",EN_2,8,English
1192,"Lysanne Tromp PhD",SCI_1,Good,Science
1119,"Dr. Brett Wolff III",SCI_3,Average,Science
1136,"Stone Macejkovic",SCI_2,Good,Science
1011,"Anissa Gleason",SCI_3,Average,Science
1118,"Prof. Oral McKenzie I",MA_1,A,Maths
1183,"Abdul Prohaska",EN_3,6,English
1018,"Edward Mitchell",MA_3,F,Maths
1022,"Camren Rippin",EN_2,4,English
1017,"Miss Verdie Fadel I",MA_1,B,Maths
1192,"Lysanne Tromp PhD",SCI_2,Excellent,Science
1044,"Miss Aliyah McKenzie",EN_1,2,English
1197,"Adolf Muller",MA_1,E,Maths
1017,"Miss Verdie Fadel I",MA_2,D,Maths
1088,"Prof. Kory Bode",EN_2,1,English
1029,"Lexus Raynor",SCI_2,Excellent,Science
1056,"Janessa Koelpin",SCI_1,"Very Poor",Science
1128,"Prof. Rodolfo Abshire",SCI_3,Average,Science
1027,"Carlie Schowalter",EN_2,2,English
1130,"Mrs. Violette Schmitt I",EN_2,4,English
1030,"Mr. Jett Watsica",EN_1,6,English
1190,"Bill Donnelly",EN_1,3,English
1021,"Mr. Garret Kub",SCI_1,"Very Poor",Science
1098,"Diamond Hessel",SCI_2,"Very Poor",Science
1182,"Trevor Mills",SCI_2,"Very Poor",Science
1062,"Prof. Oswald Conroy",EN_2,2,English
1021,"Mr. Garret Kub",SCI_2,"Very Poor",Science
1045,"Mr. Dock Senger",EN_1,6,English
1061,"Athena Tillman",MA_1,D,Maths
1140,"Mr. Keegan Waters",MA_3,A,Maths
1009,"Enid Deckow",MA_3,E,Maths
1178,"Antonio Weimann",SCI_3,Good,Science
1005,"Delta Cassin",SCI_3,"Very Poor",Science
1173,"Carol Bernhard Jr.",EN_3,8,English
1099,"Dr. Chelsey Schaefer PhD",EN_2,1,English
1029,"Lexus Raynor",SCI_1,Average,Science
1159,"Madelynn Hoppe",EN_3,4,English
1056,"Janessa Koelpin",SCI_2,"Very Poor",Science
1032,"Mrs. Skyla Krajcik",SCI_3,Average,Science
1031,"Roscoe Fisher",SCI_1,Good,Science
1163,"Dr. Assunta Pouros I",EN_3,1,English
1159,"Madelynn Hoppe",EN_1,5,English
1127,"Jazmyne Renner",EN_3,4,English
1059,"Dr. Ethelyn McClure IV",MA_2,A,Maths
1039,"Barney Witting IV",SCI_2,"Very Poor",Science
1055,"Buford Bradtke",EN_3,7,English
1004,"Dr. Terrance Volkman",SCI_2,Good,Science
1085,"Liliana Kemmer Sr.",MA_2,C,Maths
1133,"Jewel Kassulke",MA_2,B,Maths
1142,"Mr. Seamus Ward",EN_2,6,English
1144,"Maxie Mohr DDS",MA_1,B,Maths
1046,"Mr. Ethan Powlowski",EN_3,5,English
1084,"Celestine McGlynn",SCI_1,Average,Science
1024,"Abraham Veum",SCI_2,Good,Science
1172,"Miss Oceane McCullough DDS",MA_2,A,Maths
1115,"Lemuel Kilback",EN_1,4,English
1072,"Monica Abshire",MA_2,C,Maths
1037,"Norval Harvey",SCI_1,Good,Science
1020,"Leone Kunde",EN_2,8,English
1179,"Christiana Hermann",EN_3,4,English
1079,"Vergie Botsford",EN_2,4,English
1104,"Prof. Lane Smith",MA_2,D,Maths
1069,"Elroy Kassulke",EN_3,6,English
1170,"Rowland Koelpin",MA_1,A,Maths
1024,"Abraham Veum",SCI_1,Poor,Science
1033,"Lisandro Klocko V",EN_2,1,English
1019,"Murl Fahey V",EN_3,1,English
1156,"Emory Johns",MA_2,B,Maths
1069,"Elroy Kassulke",EN_2,2,English
1172,"Miss Oceane McCullough DDS",MA_1,C,Maths
1089,"Marquis Hill",SCI_2,Good,Science
1008,"Otho McGlynn",SCI_3,Excellent,Science
1179,"Christiana Hermann",EN_2,3,English
1041,"Marta Christiansen Sr.",SCI_3,Poor,Science
1151,"Reinhold King",EN_1,1,English
1197,"Adolf Muller",MA_3,A,Maths
1123,"Allie O'Reilly",SCI_3,Good,Science
1101,"Dane Kling PhD",MA_1,F,Maths
1004,"Dr. Terrance Volkman",SCI_1,Poor,Science
1095,"Dr. Carleton Durgan II",SCI_1,Excellent,Science
1170,"Rowland Koelpin",MA_2,D,Maths
1086,"Jairo Jakubowski",SCI_1,"Very Poor",Science
1090,"Dr. Terrance Rohan Sr.",EN_1,8,English
1051,"Prof. Jennie Mayert V",MA_3,A,Maths
1040,"Meghan Champlin",SCI_1,Excellent,Science
1110,"Melyna Cassin Jr.",MA_3,B,Maths
1171,"Miss Aracely Erdman",MA_2,E,Maths
1095,"Dr. Carleton Durgan II",SCI_2,"Very Poor",Science
1169,"Napoleon Hermiston",MA_1,A,Maths
1070,"Miss Jodie Kunde",EN_2,5,English
1020,"Leone Kunde",EN_1,8,English
1027,"Carlie Schowalter",EN_3,6,English
1010,"Jerald Ortiz",EN_3,2,English
1023,"Mrs. Abigayle Macejkovic",SCI_1,Excellent,Science
1098,"Diamond Hessel",SCI_3,Poor,Science
1089,"Marquis Hill",SCI_3,Good,Science
1105,"Marlon Rice",MA_3,A,Maths
1150,"Prof. Daren Kutch Jr.",EN_1,6,English
1149,"Miss Justina Lindgren",SCI_1,Excellent,Science
1054,"Valerie Nader",MA_1,C,Maths
1150,"Prof. Daren Kutch Jr.",EN_3,8,English
1158,"Mrs. Mozell Marquardt II",EN_2,5,English
1097,"Dr. Stanford Hamill III",MA_1,D,Maths
1035,"Mr. Ibrahim Welch IV",EN_1,4,English
1027,"Carlie Schowalter",EN_1,6,English
1156,"Emory Johns",MA_3,F,Maths
1189,"Leanne Watsica",EN_3,7,English
1131,"Mr. Kelley Koepp",MA_2,E,Maths
1145,"Dr. Hayden Von Sr.",EN_1,7,English
1037,"Norval Harvey",SCI_2,"Very Poor",Science
1199,"Chance Aufderhar",SCI_2,Poor,Science
1152,"Lue Koepp",SCI_2,Good,Science
1086,"Jairo Jakubowski",SCI_3,Average,Science
1187,"Prof. Stephanie Hammes PhD",SCI_1,Excellent,Science
1119,"Dr. Brett Wolff III",SCI_1,Excellent,Science
1135,"Miss Alejandra Hessel IV",SCI_2,Average,Science
1122,"Miss Francesca Hirthe Sr.",EN_2,7,English
1195,"Jameson Murphy",MA_1,D,Maths
1117,"Mrs. Ima Borer MD",MA_2,D,Maths
1143,"Keon Harvey",MA_3,E,Maths
1003,"Zakary Corkery V",MA_1,A,Maths
1132,"Belle Spinka IV",EN_1,7,English
1080,"Leonardo Huels",EN_1,4,English
1080,"Leonardo Huels",EN_3,1,English
1108,"Vivianne Sporer",EN_3,6,English
1122,"Miss Francesca Hirthe Sr.",EN_1,7,English
1001,"Dr. Lisa Haag IV",MA_2,F,Maths
1026,"Name Schoen",MA_3,F,Maths
1125,"Kasandra Bauch",SCI_2,Good,Science
1143,"Keon Harvey",MA_2,D,Maths
1014,"Elody Wintheiser DVM",EN_2,5,English
1066,"Vernie Mraz",SCI_3,Excellent,Science
1166,"Georgianna Runolfsson",EN_2,5,English
1131,"Mr. Kelley Koepp",MA_1,C,Maths
1148,"Jerome Swift",SCI_1,Average,Science
1154,"Prof. Marcella Fay MD",MA_2,D,Maths
1025,"Grayce Lueilwitz",SCI_1,Poor,Science
1195,"Jameson Murphy",MA_2,C,Maths
1043,"Daniella Heaney",EN_1,4,English
1020,"Leone Kunde",EN_3,1,English
1183,"Abdul Prohaska",EN_2,3,English
1037,"Norval Harvey",SCI_3,Excellent,Science
1134,"Gerda Hirthe MD",EN_3,2,English
1054,"Valerie Nader",MA_2,A,Maths
1097,"Dr. Stanford Hamill III",MA_3,E,Maths
1158,"Mrs. Mozell Marquardt II",EN_1,1,English
1091,"Dr. Maurice VonRueden",EN_3,6,English
1144,"Maxie Mohr DDS",MA_3,D,Maths
1041,"Marta Christiansen Sr.",SCI_1,"Very Poor",Science
1173,"Carol Bernhard Jr.",EN_1,2,English
1097,"Dr. Stanford Hamill III",MA_2,D,Maths
1100,"Dr. Urban Okuneva MD",MA_3,C,Maths
1067,"Mark Lindgren Jr.",EN_2,7,English
1005,"Delta Cassin",SCI_1,"Very Poor",Science
1048,"Jimmie West V",SCI_2,Good,Science
1125,"Kasandra Bauch",SCI_1,Poor,Science
1120,"Miss Alycia Windler",SCI_3,Average,Science
1050,"Dr. Raymundo Kulas DDS",EN_1,6,English
1111,"Andreane Vandervort",SCI_3,Poor,Science
1038,"Reba Braun",MA_1,B,Maths
1081,"Monica Orn",SCI_3,Poor,Science
1101,"Dane Kling PhD",MA_2,A,Maths
1167,"Wilton Parisian",MA_3,F,Maths
1104,"Prof. Lane Smith",MA_3,C,Maths
1132,"Belle Spinka IV",EN_3,8,English
1069,"Elroy Kassulke",EN_1,3,English
1077,"Estevan Anderson",EN_2,1,English
1102,"Lucas Ernser",MA_2,D,Maths
1088,"Prof. Kory Bode",EN_3,8,English
1114,"Dasia Adams",MA_3,A,Maths
1198,"Agnes DuBuque",MA_3,C,Maths
1094,"Chaim Turner",SCI_2,"Very Poor",Science
1176,"Katelyn Muller",EN_1,7,English
1185,"Ms. Georgette Hermann III",SCI_3,Excellent,Science
1064,"Ms. Shyanne Keeling IV",SCI_2,Excellent,Science
1040,"Meghan Champlin",SCI_3,Good,Science
1092,"Lou Schneider",MA_3,E,Maths
1006,"Mr. Hazel Beahan II",EN_3,7,English
1111,"Andreane Vandervort",SCI_2,Average,Science
1048,"Jimmie West V",SCI_1,Average,Science
1070,"Miss Jodie Kunde",EN_3,8,English
1084,"Celestine McGlynn",SCI_3,Poor,Science
1141,"Prof. Melvin Kutch",MA_1,A,Maths
1141,"Prof. Melvin Kutch",MA_2,F,Maths
1023,"Mrs. Abigayle Macejkovic",SCI_3,Average,Science
1094,"Chaim Turner",SCI_3,Average,Science
1162,"Oma Altenwerth",EN_3,1,English
1153,"Isadore Wilkinson",EN_3,4,English
1064,"Ms. Shyanne Keeling IV",SCI_1,Poor,Science
1042,"Dr. Kiel Rau IV",MA_3,D,Maths
1003,"Zakary Corkery V",MA_2,B,Maths
1028,"Mr. Benedict Christiansen",EN_1,5,English
1078,"Ashly Lehner",MA_3,C,Maths
1075,"Mr. Nolan Leffler",EN_3,2,English
1074,"Mr. Dustin Prohaska",EN_3,7,English
1008,"Otho McGlynn",SCI_1,"Very Poor",Science
1060,"Dr. Harvey Ziemann",EN_2,1,English
1183,"Abdul Prohaska",EN_1,6,English
1112,"Alexandre Beier",SCI_3,Poor,Science
1139,"Kyleigh Lesch",SCI_1,"Very Poor",Science
1044,"Miss Aliyah McKenzie",EN_3,8,English
1044,"Miss Aliyah McKenzie",EN_2,3,English
1165,"Romaine Feest",SCI_3,Excellent,Science
1058,"Miss Icie Leannon V",EN_3,7,English
1082,"Dr. Katelynn Purdy DDS",EN_3,4,English
1146,"Kelsie Carter",SCI_2,"Very Poor",Science
1012,"Norma Hahn I",MA_3,C,Maths
1184,"Mrs. Bernadette King",EN_2,5,English
1052,"Brandy Pouros",MA_3,D,Maths
1117,"Mrs. Ima Borer MD",MA_1,B,Maths
1187,"Prof. Stephanie Hammes PhD",SCI_2,Good,Science
1160,"Miss Dominique Hirthe",EN_2,6,English
1009,"Enid Deckow",MA_2,C,Maths
1178,"Antonio Weimann",SCI_2,Average,Science
1092,"Lou Schneider",MA_2,C,Maths
1007,"Dr. Laurine Brakus",EN_3,1,English
1068,"Mr. Oda Powlowski V",MA_1,B,Maths
1036,"Tressie Pacocha",MA_1,D,Maths
1112,"Alexandre Beier",SCI_1,Good,Science
1051,"Prof. Jennie Mayert V",MA_1,E,Maths
1143,"Keon Harvey",MA_1,F,Maths
1156,"Emory Johns",MA_1,B,Maths
1192,"Lysanne Tromp PhD",SCI_3,Good,Science
1147,"Althea Smith MD",SCI_3,Good,Science
1176,"Katelyn Muller",EN_2,7,English
1116,"Adella Botsford",EN_2,6,English
1103,"Chaim Zboncak",EN_2,8,English
1180,"Gordon Thompson",MA_3,C,Maths
1160,"Miss Dominique Hirthe",EN_1,3,English
1119,"Dr. Brett Wolff III",SCI_2,Good,Science
1127,"Jazmyne Renner",EN_2,5,English
1145,"Dr. Hayden Von Sr.",EN_3,4,English
1138,"Eduardo Nolan",SCI_2,"Very Poor",Science
1124,"Aaliyah Orn DDS",SCI_3,"Very Poor",Science
1194,"Dr. Domenick Herzog",EN_2,2,English
1137,"Prof. Phoebe Gislason",EN_1,2,English
1141,"Prof. Melvin Kutch",MA_3,E,Maths
1110,"Melyna Cassin Jr.",MA_1,A,Maths
1191,"Jerel Murray",EN_1,1,English
1051,"Prof. Jennie Mayert V",MA_2,F,Maths
1030,"Mr. Jett Watsica",EN_3,4,English
1154,"Prof. Marcella Fay MD",MA_1,E,Maths
1091,"Dr. Maurice VonRueden",EN_2,3,English
1067,"Mark Lindgren Jr.",EN_1,5,English
1169,"Napoleon Hermiston",MA_3,A,Maths
1168,"Marvin Schmitt",MA_2,E,Maths
1106,"Ms. Emily Schimmel",MA_3,F,Maths
1145,"Dr. Hayden Von Sr.",EN_2,6,English
1164,"Mikel Veum",SCI_1,Excellent,Science
1189,"Leanne Watsica",EN_2,5,English
1196,"Vicenta Pfeffer",SCI_1,"Very Poor",Science
1121,"Arlene Cronin",SCI_2,Good,Science
1163,"Dr. Assunta Pouros I",EN_2,4,English
1066,"Vernie Mraz",SCI_2,"Very Poor",Science
1035,"Mr. Ibrahim Welch IV",EN_2,6,English
1099,"Dr. Chelsey Schaefer PhD",EN_3,3,English
1199,"Chance Aufderhar",SCI_1,Average,Science
1151,"Reinhold King",EN_3,6,English
1191,"Jerel Murray",EN_2,5,English
1015,"Tyrell Sanford",SCI_1,Excellent,Science
1174,"Muhammad Cummings DDS",SCI_3,Poor,Science
1077,"Estevan Anderson",EN_3,3,English
1148,"Jerome Swift",SCI_3,Excellent,Science
1028,"Mr. Benedict Christiansen",EN_2,7,English
1065,"Mr. Laverne Treutel IV",SCI_3,Good,Science
1182,"Trevor Mills",SCI_3,Average,Science
1018,"Edward Mitchell",MA_2,F,Maths
1061,"Athena Tillman",MA_3,F,Maths
1005,"Delta Cassin",SCI_2,Good,Science
1135,"Miss Alejandra Hessel IV",SCI_3,Average,Science
1171,"Miss Aracely Erdman",MA_3,F,Maths
1007,"Dr. Laurine Brakus",EN_1,6,English
1021,"Mr. Garret Kub",SCI_3,Average,Science
1058,"Miss Icie Leannon V",EN_1,4,English
1173,"Carol Bernhard Jr.",EN_2,4,English
1007,"Dr. Laurine Brakus",EN_2,3,English
1013,"Samir Haag",SCI_3,Excellent,Science
1074,"Mr. Dustin Prohaska",EN_1,1,English
1083,"Steve Lebsack",SCI_3,Poor,Science
1045,"Mr. Dock Senger",EN_2,3,English
1109,"Dr. Tia Oberbrunner",SCI_2,Average,Science
1016,"Zoey Weber",MA_3,E,Maths
1073,"Cecile Waelchi",MA_2,C,Maths
1198,"Agnes DuBuque",MA_2,A,Maths
1200,"Mrs. Annabelle Collins",MA_3,F,Maths
1113,"Earl Lind",SCI_2,"Very Poor",Science
1118,"Prof. Oral McKenzie I",MA_3,A,Maths
1014,"Elody Wintheiser DVM",EN_3,8,English
1147,"Althea Smith MD",SCI_2,Excellent,Science
1133,"Jewel Kassulke",MA_3,A,Maths
1100,"Dr. Urban Okuneva MD",MA_1,C,Maths
1089,"Marquis Hill",SCI_1,Average,Science
1072,"Monica Abshire",MA_3,D,Maths
1016,"Zoey Weber",MA_2,D,Maths
1025,"Grayce Lueilwitz",SCI_2,Poor,Science
1174,"Muhammad Cummings DDS",SCI_2,"Very Poor",Science
1147,"Althea Smith MD",SCI_1,Excellent,Science
1106,"Ms. Emily Schimmel",MA_2,A,Maths
